CNTR_ID,class,distur_1,area_ha
FI,4,0,68.59484062593448
FI,4,0,0.1743819960790391
FI,4,0,0.34548789531404
FI,4,1,3.717498934764363
FI,4,2,0.4369339888593128
FI,5,0,667.6208655663887
FI,5,0,23392.671800736265
FI,5,0,57.57327470421674
FI,5,0,1005.3939341880916
FI,5,1,1728.0938058756478
FI,5,1,1.7682101742877054
FI,5,1,9.537061102765437
FI,5,2,299.99974774337784
FI,5,2,1.93310392785129
FI,5,2,12.285157092465628
FI,6,0,112.62494643569704
FI,6,0,567364.2818866712
FI,6,0,108332.4864938879
FI,6,0,6158.354580818681
FI,6,1,10.1822593300215
FI,6,1,3.578421123434093
FI,6,1,0.0477847486142938
FI,6,2,105.49250582206643
FI,6,2,0.7935138916927654
FI,6,2,0.6153061916956656
FR,0,-1,631742.5589366255
FR,0,-1,36388380.34790263
FR,0,-1,13499097.500022205
FR,0,-1,4145368.133791786
FR,1,0,28873.0035951883
FR,1,0,1074.5901154604076
FR,1,0,979.7299148979446
FR,1,1,14907.476474235564
FR,1,1,1209.7678961800052
FR,1,1,287.57791820536585
FR,1,2,0.0005834180321267
FR,1,2,97775.7959301792
FR,1,2,5003.834314814147
FR,1,2,418.0468651362937
FR,2,0,4533.062078731301
FR,2,0,138.43634857571686
FR,2,0,102.72855198367724
FR,2,1,1674.3883306263797
FR,2,1,68.14614554695613
FR,2,1,40.58735001005802
FR,2,2,3916.0088571395377
FR,2,2,58.035084137109806
FR,2,2,28.058282618820133
FR,3,0,0.0303075540303685
FR,3,0,69564.3547012466
FR,3,0,436.660554848584
FR,3,0,525.7422258909126
FR,3,1,0.0006968878299581
FR,3,1,25649.232086987733
FR,3,1,403.4114886513613
FR,3,1,213.70665154779283
FR,3,2,72389.70743605221
FR,3,2,1060.0091678040128
FR,3,2,287.5914880637204
FR,4,0,0.617780234453494
FR,4,0,19249.374890280884
FR,4,0,8.323028802483917
FR,4,0,9.699063426670062
FR,4,1,4460.465271638247
FR,4,1,9.37860753791985
FR,4,1,12.608925024911066
FR,4,2,0.001125046041966
FR,4,2,2355.402915294116
FR,4,2,28.16022501760165
FR,4,2,7.438311799732567
FR,5,0,11324.873183788635
FR,5,0,133983.91774660305
FR,5,0,47.52496186861303
FR,5,0,259.8339545206653
FR,5,1,31605.683160639644
FR,5,1,52.6447322988943
FR,5,1,257.10996609752203
FR,5,2,0.0132349957670206
FR,5,2,4970.704620836635
FR,5,2,43.679176957496416
FR,5,2,130.8888208934264
FR,6,0,0.0318876683528025
FR,6,0,273579.4576778766
FR,6,0,40156.32153880852
FR,6,0,33762.73573167978
FR,6,1,42414.62571385435
FR,6,1,7226.053663092169
FR,6,1,3545.6146372550047
FR,6,2,243631.5484244947
FR,6,2,8751.686272819867
FR,6,2,1659.7859357109692
HR,0,-1,587421.0842212896
HR,0,-1,3094517.4795003105
HR,0,-1,2283174.636120709
HR,0,-1,239043.4755591815
HR,1,0,0.0100322139958639
HR,1,0,28237.704444616724
HR,1,0,5850.5262883667465
HR,1,0,442.1792370563696
HR,1,1,0.0046914478221543
HR,1,1,9884.025497663097
HR,1,1,2067.5063297539587
HR,1,1,335.95867054631503
HR,1,2,0.009027225451864
HR,1,2,80389.81244470182
HR,1,2,6205.363064051845
HR,1,2,177.61869229097826
HR,2,0,0.0004700434550425
HR,2,0,87.56392770792506
HR,2,0,35.87653915544332
HR,2,0,26.176892715449952
HR,2,1,0.1796268965400497
HR,2,1,0.1745270289339896
HR,2,1,0.084115735817353
HR,2,2,5.889569974308436
HR,2,2,0.0120491096436447
HR,2,2,0.0010728576273576
HR,3,0,9927.910058200512
HR,3,0,1261.8988496583993
HR,3,0,2748.2779647819584
HR,3,1,2754.328599647257
HR,3,1,140.35163422051244
HR,3,1,301.8928040689069
HR,3,2,13328.02874080809
HR,3,2,433.6439351552942
HR,3,2,836.2688510832609
HR,4,0,2094.639328016213
HR,4,0,0.1732330444829905
HR,4,0,0.2307748362633513
HR,4,1,2711.284716389587
HR,4,1,0.0273536930786527
HR,4,1,0.1974947514261853
HR,4,2,1590.9949345962536
HR,4,2,0.2475157579603268
HR,4,2,1.6032858620925867
HR,5,0,8.23903471388204
HR,5,0,4707.095231534337
HR,5,0,8.347743984598965
HR,5,0,18.27775906158052
HR,5,1,1022.917813127296
HR,5,1,0.2519136380806506
HR,5,1,0.8202812034017898
HR,5,2,0.0013400781858634
HR,5,2,695.6209868500146
HR,5,2,0.7013598080599243
HR,5,2,1.52657893068026
HR,6,0,7981.800085666482
HR,6,0,1131.4901951664065
HR,6,0,478.0722655587995
HR,6,1,119.17697914706338
HR,6,1,23.83396354628755
HR,6,1,1.4773029784273175
HR,6,2,688.02687800506
HR,6,2,36.20135286641894
HR,6,2,0.5081087184359794
HU,0,-1,18328.19152928166
HU,0,-1,6532588.784587468
HU,0,-1,2148930.6702741445
HU,0,-1,147217.4760496884
HU,1,0,82.15805860981432
HU,1,0,86081.44423112762
HU,1,0,14089.764081274036
HU,1,0,214.7686156350897
HU,1,1,25.224328085674827
HU,1,1,46320.28625538696
HU,1,1,13104.208431133802
HU,1,1,184.67965468109253
HU,1,2,78.27514424135097
HU,1,2,298045.16935910244
HU,1,2,17281.132132603467
HU,1,2,177.09840303856475
HU,2,0,1.7982005830664352
